California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
196103,3.04,-0.29
196104,0.97,-0.69
196105,0.98,0.02
196106,0.24,-0.10
196107,0.08,-0.10
196108,0.59,0.36
196109,0.27,-0.15
196110,0.63,-0.64
196111,2.99,0.29
196112,2.48,-1.53
196201,2.03,-2.04
196202,7.92,3.96
196203,2.75,-0.58
196204,0.47,-1.19
196205,0.74,-0.22
196206,0.11,-0.23
196207,0.11,-0.07
196208,0.25,0.02
196209,0.30,-0.12
196210,3.94,2.67
196211,1.29,-1.41
196212,2.19,-1.82
196301,2.89,-1.18
196302,3.89,-0.07
196303,3.51,0.18
196304,4.39,2.73
196305,1.11,0.15
196306,0.46,0.12
196307,0.02,-0.16
196308,0.30,0.07
196309,0.89,0.47
196310,1.99,0.72
196311,4.59,1.89
196312,0.70,-3.31
196401,3.58,-0.49
196402,0.31,-3.65
196403,2.00,-1.33
196404,0.74,-0.92
196405,1.03,0.07
196406,0.63,0.29
196407,0.17,-0.01
196408,0.14,-0.09
196409,0.14,-0.28
196410,1.07,-0.20
196411,3.99,1.29
196412,8.47,4.46
196501,3.83,-0.24
196502,0.78,-3.18
196503,1.46,-1.87
196504,3.94,2.28
196505,0.19,-0.77
196506,0.32,-0.02
196507,0.28,0.10
196508,0.65,0.42
196509,0.16,-0.26
196510,0.17,-1.10
196511,6.17,3.47
196512,4.03,0.02
196601,3.05,-1.02
196602,1.89,-2.07
196603,1.28,-2.05
196604,0.71,-0.95
196605,0.27,-0.69
196606,0.12,-0.22
196607,0.17,-0.01
196608,0.15,-0.08
196609,0.32,-0.10
196610,0.21,-1.06
196611,4.81,2.11
196612,5.74,1.73
196701,6.12,2.05
196702,0.40,-3.56
196703,4.23,0.90
196704,4.44,2.78
196705,0.59,-0.37
196706,0.66,0.32
196707,0.20,0.02
196708,0.33,0.10
196709,0.59,0.17
196710,0.74,-0.53
196711,2.63,-0.07
196712,2.82,-1.19
196801,3.71,-0.36
196802,2.72,-1.24
196803,2.41,-0.92
196804,0.52,-1.14
196805,0.63,-0.33
196806,0.21,-0.13
196807,0.36,0.18
196808,0.53,0.30
196809,0.07,-0.35
196810,1.41,0.14
196811,2.67,-0.03
196812,5.13,1.12
196901,10.80,6.73
196902,7.33,3.37
196903,1.39,-1.94
196904,1.74,0.08
196905,0.34,-0.62
196906,0.60,0.26
196907,0.24,0.06
196908,0.05,-0.18
196909,0.26,-0.16
196910,1.33,0.06
196911,1.34,-1.36
196912,5.18,1.17
197001,8.16,4.09
197002,2.16,-1.80
197003,2.44,-0.89
197004,0.68,-0.98
197005,0.22,-0.74
197006,0.59,0.25
197007,0.13,-0.05
197008,0.19,-0.04
197009,0.04,-0.38
197010,0.97,-0.30
